ts_utc	run_id	checkpoint	benchmark	lang	n_items	n_shot	metric	value	ci_lo	ci_hi	git_commit	config_sha256
2026-09-17T01:39:02Z	eval_kmmlu_cpt_c0_qwen_main_seed42_d3	final	kmmlu_d3	ko	1900	5	accuracy	0.315263	0.294737	0.336316	1105df73d13d3c65407253ed38f9432c08a44afb	1f49791ef1730e0bd18617dd642409075276b1686c9f960a52ffd2a9816f3d72
2026-09-17T01:39:02Z	eval_kmmlu_cpt_c0_qwen_main_seed42_d3	final	kmmlu_Law	ko	1000	5	accuracy	0.308	0.281	0.336025	1105df73d13d3c65407253ed38f9432c08a44afb	1f49791ef1730e0bd18617dd642409075276b1686c9f960a52ffd2a9816f3d72
2026-09-17T01:39:03Z	eval_kmmlu_cpt_c0_qwen_main_seed42_d3	final	kmmlu_Criminal-Law	ko	200	5	accuracy	0.325	0.26	0.39	1105df73d13d3c65407253ed38f9432c08a44afb	1f49791ef1730e0bd18617dd642409075276b1686c9f960a52ffd2a9816f3d72
2026-09-17T01:39:03Z	eval_kmmlu_cpt_c0_qwen_main_seed42_d3	final	kmmlu_Patent	ko	100	5	accuracy	0.31	0.22	0.4	1105df73d13d3c65407253ed38f9432c08a44afb	1f49791ef1730e0bd18617dd642409075276b1686c9f960a52ffd2a9816f3d72
2026-09-17T01:39:03Z	eval_kmmlu_cpt_c0_qwen_main_seed42_d3	final	kmmlu_Taxation	ko	200	5	accuracy	0.335	0.27	0.4	1105df73d13d3c65407253ed38f9432c08a44afb	1f49791ef1730e0bd18617dd642409075276b1686c9f960a52ffd2a9816f3d72
2026-09-17T01:39:03Z	eval_kmmlu_cpt_c0_qwen_main_seed42_d3	final	kmmlu_Health	ko	100	5	accuracy	0.32	0.23	0.41	1105df73d13d3c65407253ed38f9432c08a44afb	1f49791ef1730e0bd18617dd642409075276b1686c9f960a52ffd2a9816f3d72
2026-09-17T01:39:03Z	eval_kmmlu_cpt_c0_qwen_main_seed42_d3	final	kmmlu_Political-Science-and-Sociology	ko	300	5	accuracy	0.32	0.27	0.373333	1105df73d13d3c65407253ed38f9432c08a44afb	1f49791ef1730e0bd18617dd642409075276b1686c9f960a52ffd2a9816f3d72
2026-09-17T01:42:18Z	eval_kmmlu_cpt_t2a_none_main_seed42_d3	final	kmmlu_d3	ko	1900	5	accuracy	0.313158	0.292632	0.334211	1105df73d13d3c65407253ed38f9432c08a44afb	3eb2fa66b00492aefed0da73588d3bb22753a53a7405b6fb91b45846d2baa216
2026-09-17T01:42:18Z	eval_kmmlu_cpt_t2a_none_main_seed42_d3	final	kmmlu_Law	ko	1000	5	accuracy	0.307	0.28	0.335	1105df73d13d3c65407253ed38f9432c08a44afb	3eb2fa66b00492aefed0da73588d3bb22753a53a7405b6fb91b45846d2baa216
2026-09-17T01:42:18Z	eval_kmmlu_cpt_t2a_none_main_seed42_d3	final	kmmlu_Criminal-Law	ko	200	5	accuracy	0.325	0.26	0.39	1105df73d13d3c65407253ed38f9432c08a44afb	3eb2fa66b00492aefed0da73588d3bb22753a53a7405b6fb91b45846d2baa216
2026-09-17T01:42:18Z	eval_kmmlu_cpt_t2a_none_main_seed42_d3	final	kmmlu_Patent	ko	100	5	accuracy	0.3	0.21	0.39	1105df73d13d3c65407253ed38f9432c08a44afb	3eb2fa66b00492aefed0da73588d3bb22753a53a7405b6fb91b45846d2baa216
2026-09-17T01:42:18Z	eval_kmmlu_cpt_t2a_none_main_seed42_d3	final	kmmlu_Taxation	ko	200	5	accuracy	0.33	0.265	0.395	1105df73d13d3c65407253ed38f9432c08a44afb	3eb2fa66b00492aefed0da73588d3bb22753a53a7405b6fb91b45846d2baa216
2026-09-17T01:42:18Z	eval_kmmlu_cpt_t2a_none_main_seed42_d3	final	kmmlu_Health	ko	100	5	accuracy	0.32	0.23	0.41	1105df73d13d3c65407253ed38f9432c08a44afb	3eb2fa66b00492aefed0da73588d3bb22753a53a7405b6fb91b45846d2baa216
2026-09-17T01:42:18Z	eval_kmmlu_cpt_t2a_none_main_seed42_d3	final	kmmlu_Political-Science-and-Sociology	ko	300	5	accuracy	0.316667	0.266667	0.37	1105df73d13d3c65407253ed38f9432c08a44afb	3eb2fa66b00492aefed0da73588d3bb22753a53a7405b6fb91b45846d2baa216
2026-09-17T01:44:58Z	eval_kmmlu_cpt_t2b_mean_main_seed42_d3	final	kmmlu_d3	ko	1900	5	accuracy	0.236842	0.217895	0.256316	1105df73d13d3c65407253ed38f9432c08a44afb	c2faba704f8fcb01111b521ae154591d508c014d30cb71fc6b54687b46989549
2026-09-17T01:44:58Z	eval_kmmlu_cpt_t2b_mean_main_seed42_d3	final	kmmlu_Law	ko	1000	5	accuracy	0.244	0.218	0.271	1105df73d13d3c65407253ed38f9432c08a44afb	c2faba704f8fcb01111b521ae154591d508c014d30cb71fc6b54687b46989549
2026-09-17T01:44:58Z	eval_kmmlu_cpt_t2b_mean_main_seed42_d3	final	kmmlu_Criminal-Law	ko	200	5	accuracy	0.2	0.145	0.255	1105df73d13d3c65407253ed38f9432c08a44afb	c2faba704f8fcb01111b521ae154591d508c014d30cb71fc6b54687b46989549
2026-09-17T01:44:58Z	eval_kmmlu_cpt_t2b_mean_main_seed42_d3	final	kmmlu_Patent	ko	100	5	accuracy	0.28	0.19	0.37	1105df73d13d3c65407253ed38f9432c08a44afb	c2faba704f8fcb01111b521ae154591d508c014d30cb71fc6b54687b46989549
2026-09-17T01:44:58Z	eval_kmmlu_cpt_t2b_mean_main_seed42_d3	final	kmmlu_Taxation	ko	200	5	accuracy	0.24	0.18	0.3	1105df73d13d3c65407253ed38f9432c08a44afb	c2faba704f8fcb01111b521ae154591d508c014d30cb71fc6b54687b46989549
2026-09-17T01:44:58Z	eval_kmmlu_cpt_t2b_mean_main_seed42_d3	final	kmmlu_Health	ko	100	5	accuracy	0.26	0.17975	0.35	1105df73d13d3c65407253ed38f9432c08a44afb	c2faba704f8fcb01111b521ae154591d508c014d30cb71fc6b54687b46989549
2026-09-17T01:44:58Z	eval_kmmlu_cpt_t2b_mean_main_seed42_d3	final	kmmlu_Political-Science-and-Sociology	ko	300	5	accuracy	0.213333	0.166667	0.26	1105df73d13d3c65407253ed38f9432c08a44afb	c2faba704f8fcb01111b521ae154591d508c014d30cb71fc6b54687b46989549
