sample_id	url	host	text_preview	predicted_domain	gold_domain	reviewer_note
s0001	http://www.tripadvisor.co.kr/Hotel_Review-g34042-d83870-Reviews-Quality_Inn_Suites_Skyways_New_Castle-New_Castle_Delaware.html	www.tripadvisor.co.kr	지역: 미국 > 델라웨어 > 뉴 캐슬 편의 시설: 비지니스 센터 무료 조식 무료 고속 인터넷 무료 주차 애완동물 허용 스위트 수영장 휠체어 편의 디자인 (배리어 프리) 3위 (11건의 뉴 캐슬 소재 호텔 중에서) 가격대 (1박): 96,956 원 - 128,523 원 2성급 (2*) - 예약 옵션: - 트립어드바이저는 호	web_general		
s0002	http://www.tripadvisor.co.kr/Hotel_Review-g312727-d2714833-Reviews-Likya_Yolu_Palas_Hotel-Demre_Kale_Turkish_Mediterranean_Coast.html	www.tripadvisor.co.kr	위치: 터키 > 터키 지중해 연안 > Demre (Kale) 4위 (13건의 Demre (Kale) 소재 모텔 / B&B 중에서) - 예약 옵션: - 트립어드바이저는 Booking.com사와 제휴 관계를 맺고 있으므로, 회원님께서는 안심하고 Likya Yolu Palas Hotel의 예약을 하실 수 있습니다. 트립어드바이	web_general		
s0003	http://www.mt.co.kr/view/mtview.php?type=1&no=2012112916363800698&outlink=1	www.mt.co.kr	'벤처인 축제' 2012 벤처창업대전 개막 글로벌 벤처창업 컨퍼런스·대기업 초청 비즈니스 상담회 등 부대행사 마련  중소기업청이 주최하고 벤처기업협회와 창업진흥원이 주관하는 벤처·창업대전은 국내 벤처기업과 창업인을 격려하는 축제의 장이다. 지난 1997년 벤처특별법을 제정한 이후 매년 개최하고 있다. 매년 약 12만명이 	web_general		
s0004	http://office.microsoft.com/ko-kr/word-help/RZ101790574.aspx?section=8	office.microsoft.com	작업이 어느 정도 진행되어 잘 다듬어진 문장이나 아이디어, 사실 또는 그림이 포함된 여러 단락을 작성했는데, 갑자기 고양이가 키보드에 뛰어오르거나 정전으로 컴퓨터가 꺼지게 된다면 소중한 자료를 잃어버리고 후회하게 될 것입니다. 작업을 유지하려면 저장해야 하며 이 작업은 되도록 빨리 실행하는 것이 좋습니다. 리본 메뉴에서 	web_general		
s0005	http://www.accorhotels.com/ko/hotel-3641-%EB%85%B8%EB%B3%B4%ED%85%94-%EB%B2%A0%EC%9D%B4%EC%A7%95-%EC%8B%A0%EC%B0%A8%EC%98%A4/index.shtml	www.accorhotels.com	호텔 주소1 Chong Wen Men Xi Da Jie 100005 베이징 CHINA 호텔에 오시는 방법GPS :N 39° 54' 5.41'' E 116° 25' 0.84'' 호텔 연락처 - 전화번호 (+86)10/65133366 - 팩스번호 (+86)10/65125126 - email@example.com 최근에 본 호	web_general		
s0006	http://www.tripadvisor.co.kr/Hotel_Review-g504234-d2076089-Reviews-Garcia_Rentals_Yelapa-Yelapa_Costalegre.html	www.tripadvisor.co.kr	위치: 멕시코 > 할리스코 > Costalegre > Yelapa 편의 시설: 비치 무료 고속 인터넷 어린이 놀이시설 간이 키친 애완동물 허용 스위트 3위 (9건의 Yelapa 소재 기타 숙박시설 중에서) 가격대 (1박): 74,946 원 - 96,360 원 - 예약 옵션: - 트립어드바이저는 Booking.com사와 제	web_general		
s0007	https://kmu.ac.kr/uni/main/page.jsp?pageNo=14&pagePrvNxt=1&pageRef=195774&pageOrder=0&cmd=2&parm_bod_uid=191379&srchVoteType=-1&srchEnable=1&srchBgpUid=-1&srchKeyword=&srchSDate=&srchColumn=&srchEDate	kmu.ac.kr	Language언어 선택 펼치기 Language언어 선택 닫기 Opening the light to the world세계를 향해 빛을 여는 계명대학교 열린마당Community 교수학습개발센터에서 수강생 여러분들께 안내드립니다. 2018학년도 2학기 가상강좌 교과목의 온라인 중간고사 및 기말고사 일정이 다음과 같이 확정되었	web_general		
s0008	https://d1juj6yuyrw2t4.cloudfront.net/cj%ED%9A%8C%EC%9E%A5-%EC%8A%A4%ED%8F%B0-%EC%97%B0%EC%98%88%EC%9D%B8-%EC%9D%B4%EC%BD%94%EC%BD%94%EA%B0%80-%EB%B6%80%ED%9A%8C%EC%9E%A5%EC%97%90%EA%B2%8C-%ED%95%9C-%	d1juj6yuyrw2t4.cloudfront.net	“CJ회장 스폰 연예인” 이코코 부회장이 한 짓의 정체 걸그룹 코코소리 출신 유튜버 이코코가 이재환 부회장과 스폰 논란에 휩싸였습니다. 현재 이코코 부회장 스폰 논란에 대해 “2020년 말 쯤, 어머니 친구분에게 부회장의 식사 자리에 초대받아서 그 날 부회장을 처음 뵀다”고 주장하고 있는데요. 이후에도 “공적으로나 사적으	web_general		
s0009	https://feelsfilm.tistory.com/343	feelsfilm.tistory.com	서초구 잠원동 리모델링 현장, 건물 외벽 유리창 고정빔을 철거하러 왔다. 1층 상단에 철재빔이 6m 정도 높이에 있으며 2층 철재빔은 10m 정도에 설치되어 있는데 스카이차에서 작업하시는 두분과 철거된 빔을 지상에서 정리해주는 작업자 두분으로 작업을 진행하였다. 스카이차 작업자 2분은 안전을 위하여 안전고리를 설치 후 작	blog		
s0010	https://pcpinside.tistory.com/2040?category=83043	pcpinside.tistory.com	2009년 11월 아이폰을 시작으로 스마트폰이 국내 큰 인기를 끌게 되었고 이에 각 통신사는 삼성, LG전자는 물론 HTC, RIM, 소니에릭슨 등 다양한 제품을 쏟아내기 시작했습니다. 하지만 이러한 제품들은 WCDMA 방식을 채택하고 있는 KT와 SKT에 국한된 이야기였을 뿐 리비전 A 방식의 LGT는 사실상 외산 스마	blog		
