sample_id	url	host	text_preview	predicted_domain	gold_domain	reviewer_note
s0001	http://blog.libro.co.kr/dy5442/981478	blog.libro.co.kr	왜 항우와 유방은 홍문에서 만났을까? 신동준 글 / 안희숙 그림  (주)자음과모음 펴냄 고우영 선생의 초한지를 읽고 있었다. 그래서 이 책이 눈에 들어왔던 것 같다. 내가 알지 못했던 역사를 알아가는 것은 기분 좋은 일이다. 8권으로 이루어진 고우영 선생의 책은 굉장히 많은 이야기를 담고 있지만, 만화이기 때문에 허구와 	blog	blog	
s0002	http://www.3ds.com/kr/education/3ds-university/testing-and-certification/how-to-get-certified/?xtmc=Certified_Professional&xtcr=1	www.3ds.com	프로그램 특성에 따라 따라야 하는 단계가 약간 달라질 수 있습니다. 자세한 내용은 프로그램 페이지를 참조하십시오. 응시자 데이터 저장소 응시자의 개인 데이터 및 시험 데이터는 미국의 Pearson VUE 데이터베이스와 프랑스의 다쏘시스템 데이터베이스에 동시에 저장됩니다. 다쏘시스템은 응시자에게 다쏘시스템이 보유한 개인 데	ko_en_mixed	technical	
s0003	http://lync.microsoft.com/ko-kr/Product/Workloads/Pages/conferencing-software.aspx	lync.microsoft.com	향상된 사용자 환경 화상, 한 번의 클릭으로 실행하는 데스크톱 공유, 손쉬운 모임 요청, 그리고 휴대폰으로 회의를 시작하여 PC에서 계속 진행하는 기능까지 있어서 회의를 매우 용이하게 진행할 수 있습니다. Lync 2010은 단일 클라이언트 환경을 제공하므로 참가자와 모임 주최자에게 협업과 온라인 모임이 더욱 편리해집니다	web_general	technical	
s0004	http://www.tripadvisor.co.kr/Restaurant_Review-g187422-d1960182-Reviews-Jenzighaus-Jena_Thuringia.html	www.tripadvisor.co.kr	지원하지 않는 브라우저를 사용하고 계시므로,트립어드바이저 웹사이트가 올바르게 표시되지 않을 수도 있습니다. 당사는 다음의 브라우저들을 지원합니다.: Windows: Internet Explorer, Mozilla Firefox, Google Chrome. Mac: Safari. Am Jenzig 99, 07749 Jena	ko_en_mixed	technical	
s0005	http://www.tripadvisor.co.kr/Attraction_Review-g35790-d4415296-Reviews-SoDo_Theatre-Champaign_Champaign_Urbana_Illinois.html	www.tripadvisor.co.kr	지원하지 않는 브라우저를 사용하고 계시므로,트립어드바이저 웹사이트가 올바르게 표시되지 않을 수도 있습니다. 당사는 다음의 브라우저들을 지원합니다.: Windows: Internet Explorer, Mozilla Firefox, Google Chrome. Mac: Safari. 114 S. Neil Street, Cham	ko_en_mixed	technical	
s0006	http://support.microsoft.com/kb/831733/ko	support.microsoft.com	기술 자료: 831733 - 이 문서가 적용되는 제품 보기. Microsoft Windows Server 2003에서 프로그램을 실행하려면 다음 계정으로 실행 을 사용할 때 프로그램을 실행하는 사용자가 로그온한 사용자 수 없습니다. 이 시나리오에서는 핸들 누수가 발생하고 다음 현상 중 하나 이상이 발생할 수 있습니다. 핫	technical	technical	
s0007	http://www.breguet.com/kr/REINE-DE-NAPLES7	www.breguet.com	This where the flash should stand... 브레게 “레인 드 네이플(REINE DE NAPLES)” 전시회, 계속해서 중국을 사로잡다2013.07.19 난징과 선전에서 성황리에 막을 내린 “레인 드 네이플” 전시회가 선양에서 중국 전시의 여정을 이어갑니다. 브레게의 여성 컬렉션을 만나보실 수 있는 	web_general	web_general	
s0008	https://cse.postech.ac.kr/%ED%8F%AC%ED%95%AD%EC%97%90-%EB%91%A5%EC%A7%80-%ED%8A%BC-%EB%B0%B0%ED%84%B0%EB%A6%AC%EC%82%B0%EC%97%85-%EC%84%A0%EB%91%90%EC%A3%BC%EC%9E%90-%ED%94%BC%EC%97%A0%EA%B7%B8%EB%A1%	cse.postech.ac.kr	뉴스 포항에 둥지 튼 배터리산업 선두주자 ‘피엠그로우’ [박재홍 동문] 포스텍 출신 대표가 창업한 기업이 포항시에서 새롭게 둥지를 틀어 주목받고 있다. 주인공은 피엠그로우 박재홍 대표(박사 97년 2월 졸업). 박 대표는 포스텍에서 학사·석사·박사 학위를 받고서 지난 2001년 유라클을 창업해 우리나라 1세대 IT융합산업	web_general	news	
s0009	https://www.newspim.com/news/view/20221107000268	www.newspim.com	기사입력 : 2022년11월07일 10:03 최종수정 : 2022년11월07일 10:03 [서울=뉴스핌] 양태훈 기자 = 네이버가 클라우드 사업 부문에 대한 조직 개편을 단행한다. 최수연 네이버 대표는 7일 열린 2022년 3분기 실적 컨퍼런스콜에서 "클라우드 조직 개편과 관련해 기존에 여러 사업 부서에 걸쳐 혼재했던 인	news	news	
s0010	https://health.chosun.com/site/data/html_dir/2020/03/11/2020031102314.html	health.chosun.com	입력 2020.03.11 14:12 앉아 있을 때 통증 심하고 일어나면 사라져 평소 오래 앉아서 일하는 사람이라면 '좌골점액낭염'을 주의해야 한다. 좌골점액낭염은 엉덩이 쪽에 위치한 좌골 주위 조직인 점액낭에 염증이 생긴 질환을 말한다. 특히 엉덩이 살이 없어 엉덩이 부근의 근육층이 얇으면 더욱 주의가 필요하다. 일종의 	news	web_general	
s0011	https://m.helloglobal.co.kr/product/detail.html?product_no=247&cate_no=53&display_group=2	m.helloglobal.co.kr	최근 검색어가 없습니다. 3,898원(2.00%) 원 % 0 원 % 상품후기쓰기 모두보기 게시물이 없습니다 상품문의하기 모두보기 [미개봉새상품]아이패드5세대 128GB 셀룰러 IPAD9.7 610,060원 [중고] 아이폰7플러스 128GB 특가 공기계 중고폰 매트블랙 제트블랙 아이폰공기계구입 559,300원 [중고] 아이	web_general	web_general	
s0012	https://news.samsungdisplay.com/33704?category=67&page=1&type=list	news.samsungdisplay.com	'순환 경제 생태계' 확대… 모래-물 등 대체 불가 자원 재활용 극대화 □ 지구 온난화 극복 동참, 2050년 탄소중립 달성 - 공정가스 저감시설 확충, 대체 가스 개발로 직접 배출(Scope1) 최소화 - 'RE100' 이니셔티브 가입, 간접배출(Scope2) 최소화 - '22년까지 베트남, 인도 등 해외 사업장 재생에	news	news	
s0013	https://onion02.tistory.com/190?category=455716	onion02.tistory.com	종로5가에 위치한 광장시장, 아마도 우리나라 재래시장 중 가장 큰 규모가 아닐까 합니다. 진짜 없는게 없는 곳이죠. 그러나 저에게 있어 광장시장은 맛난 먹거리 천국으로만 기억되고 있습니다. 물건을 사러 가기 보다는, 맛난 무언가를 먹기 위해 가는 곳, 바로 종로5가에 있는 광장시장입니다. 광장시장에 왔으면, 가장 먼저 가	blog	blog	
s0014	http://www.redian.org/archive/100454	www.redian.org	방송법 위반 피의자" 정부여당이 이정현 청와대 전 홍보수석의 언론통제 파문에 대해 ‘통상적 업무’라고 해명한 것과 관련, 노회찬 정의당 원내대표는 4일 “통상적 업무라고 규정하는 자체가 더 심각한 문제”라며 “이정현 전 수석은 방송법을 위반한 피의자이고, 수사 대상”이라고 비판했다. 노회찬 원내대표는 이날 오전 CBS 라	news	news	
s0015	http://sidaeilbo.co.kr/sub_read.html?uid=163055	sidaeilbo.co.kr	채용비리 전수조사 ‘필수불가결’ 문대통령이 ‘필요시 공공기관 전수조사해서 채용비리를 규명’해야 한다며 진상규명을 촉구했다. 대한민국은 ‘백 공화국’이다. 백 없으면 스펙도 무용지물이다. 백이 곧 실력인 세상에서 젊은이들이 느끼는 자괴감은 어떨까. 해답은 ‘한국땅을 떠나고 싶다’ 두 번째 해답은 ‘취업포기’다. 강원랜드 2	news	news	
s0016	http://www.kmhealth.co.kr/board/board.php?tbname=exper&no=364&page=1&action=read&catno=&category=&keyword=&h=	www.kmhealth.co.kr	TM 트리거 포인트 자석 마사지기 활용예 트리거포인트를 전문적으로 다스린다 압통점(트리거 포인트)에 3000가우스의 강력한 자석으로 마사지하여 통증을 해소시킨다! T & M 마사지기로 지압해주는 포인트는 원격반응점이나 근육압통점으로~ 근과 건이 만나는 지점에서 근육방향으로 3~5cm 지점(한방에서 3횡지 4횡지)에 주로 	web_general	web_general	
s0017	http://report.kyobobook.co.kr/view/2006/4187687/	report.kyobobook.co.kr	소개글 전자회로실험 소신호 전압 증폭회로 (CE BJT) 목차 1. 실험 목적 2. 기초이론 3. 실험방법 4. 예비과제 본문내용 1. 실험 목적 ․ 전압 분할 바이어스를 이용하여 트랜지스터를 CE 증폭기로 구성 ․ CE 증폭기의 전압 이득을 측정 ․ 에미터 바이패스 콘덴서가 증폭기 이득에 미치는 영향을 관찰 2. 기초이	web_general	technical	
s0018	http://jstoday.co.kr/20932	jstoday.co.kr	백남기 농민과 51년전 학창시절에 처음 만나 민주화를 위해 싸우며 고락을 함께해온 장휘국 광주시교육감은 18일 오후 5시 금남로 5·18민주화운동기록관에서 열린 백남기 농민 1주기 기록전시전을 찾았다. 기록관엔 백남기 농민이 마지막에 입었던 옷과 손때 묻은 꽹과리, 옛 사진들, 평소 곁에 두고 읽었던 책 등이 전시됐으며 	web_general	web_general	
